"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3053","Ошибка при размещении комментария","chromium","Tue Apr 29 13:15:05 GMT 2025","passed","Tue Apr 29 13:15:08 GMT 2025","Карточка товара","findBugs.spec.js","",""
"","4120","Ошибка при переходе в Твиттер","chromium","Tue Apr 29 13:15:14 GMT 2025","passed","Tue Apr 29 13:15:18 GMT 2025","Карточка товара","findBugs.spec.js","",""
"","90028","Описание товара не на английском языке","chromium","Tue Apr 29 13:13:34 GMT 2025","broken","Tue Apr 29 13:15:04 GMT 2025","Карточка товара","findBugs.spec.js","",""
"","6345","Ошибка 404 при переходе на страницу производителя","chromium","Tue Apr 29 13:15:08 GMT 2025","passed","Tue Apr 29 13:15:14 GMT 2025","Карточка товара","findBugs.spec.js","",""
"","2098","Ошибка при переходе на следующую страницу","chromium","Tue Apr 29 13:10:26 GMT 2025","passed","Tue Apr 29 13:10:28 GMT 2025","Главная страница","findBugs.spec.js","",""
